id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
4011,4011,690,117,Vision in White,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 May 2012,319,Penguin Putnam Inc,English,Vision in White,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 28th 2009,325,Berkley Books,English,1
4474,4474,774,133,Captive in the Dark : The Dark Duet,Cj Roberts,Erotic Fiction,18 Jun 2013,205,Neurotica Books,English,Captive in the Dark,C.J. Roberts,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Adult;Contemporary;Sociology;Abuse;New Adult;Romance;Contemporary Romance;Romance;Erotic Romance,July 20th 2011,276,CJ Roberts,,1
4699,4699,289,137,Secrets of a Summer Night,Lisa Kleypas,Historical Romance:Historical Romance,29 Dec 2015,384,HarperCollins Publishers Inc,English,Secrets of a Summer Night,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,November 28th 2006,384,Avon,English,1
4865,4865,1443,139,Perfect,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jun 2017,677,Simon & Schuster Ltd,English,Perfect,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,December 1st 2002,704,Pocket Books,English,1
4926,4926,1700,141,Stranger in My Arms,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,Smooth Talking Stranger,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 31st 2009,340,St. Martin's Press,English,0
5014,5014,428,145,Lord of Scoundrels,Loretta Chase,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,Lord of Scoundrels,Loretta Chase,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Fiction,January 1995,375,Avon Books,English,1
5076,5076,1203,148,Darkfever,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books,08 Sep 2011,368,Orion Publishing Co,English,Darkfever,Karen Marie Moning,Fantasy;Fantasy;Urban Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae;Adult;Fiction,October 31st 2006,309,Delacorte Press,English,1
5133,5133,2640,150,Big Sky Mountain,Linda Lael Miller,Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jul 2012,378,HarperCollins Publishers,English,Mackenzie's Mountain,Linda Howard,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Westerns;Suspense,March 1st 2000,256,Mira Books,English,0
5199,5199,2484,152,Heaven Texas,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,11 Jul 2011,371,HarperCollins Publishers Inc,English,Heaven; Texas,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,April 1st 1995,384,Avon,English,1
5447,5447,2482,157,One Day,David Nicholls,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,24 May 2011,437,Random House USA Inc,English,One Day,David Nicholls,Fiction;Romance;Contemporary;Womens Fiction;Chick Lit,June 11th 2009,435,Hodder & Stoughton,English,1
5693,5693,642,161,Tangled,Emma Chase,Contemporary Fiction:Erotic Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Jan 2014,256,SIMON & SCHUSTER,English,Tangled,Emma Chase,Romance;Contemporary;Romance;Contemporary Romance;New Adult;Humor;Funny;Adult,August 2nd 2013,254,Gallery Books,,1
5719,5719,1611,162,The Wolf and the Dove,Kathleen E. Woodiwiss,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,02 Sep 2011,512,HarperCollins Publishers Inc,English,The Wolf and the Dove,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Medieval;Historical;Historical Fiction,August 28th 2007,512,Avon,English,1
6116,6116,1264,179,Like Water for Chocolate : A Novel in Monthly Installments with Recipes Romances and Home Remedies,Laura Esquivel,Contemporary Fiction:Romance:Romance Books,01 Nov 1995,256,Bantam Doubleday Dell Publishing Group Inc,English,Like Water for Chocolate,Laura Esquivel;Thomas  Christensen;Carol Christensen,Fiction;Romance;Magical Realism;Historical;Historical Fiction;Classics;Fantasy;Food and Drink;Food,October 1st 1996,221,Random House Black Swan,English,1
6294,6294,102,187,Dear John,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2009,335,Time Warner Trade Publishing,English,Dear John,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult;Adult Fiction;Love;Young Adult;Drama;Romance;Contemporary Romance,October 30th 2006,276,Warner Books,English,1
6361,6361,2813,189,Three Little Words,Susan Mallery,Adult & Contemporary Romance:Adult & Contemporary Romance,30 Jul 2013,329,Harlequin,English,Dream a Little Dream,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports,February 1st 1998,400,Avon,English,0
6435,6435,2405,190,The Annotated Northanger Abbey,David M. Shapard:Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,16 Oct 2013,684,Random House USA Inc,English,Northanger Abbey,Jane Austen;Alfred MacAdam,Classics;Fiction;Romance;Historical;Historical Fiction,March 3rd 2005,251,Barnes & Noble Classics,English,0
6485,6485,253,191,Devil in Spring,Lisa Kleypas,Historical Romance:Historical Romance,21 Feb 2017,384,AVON BOOKS,English,Scandal in Spring,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 25th 2006,374,Avon,English,0
6851,6851,2515,197,The Darkest Promise,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2018,512,HQN,English,The Darkest Passion,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,May 21st 2010,438,Mira,English,0
6887,6887,339,199,Again the Magic,Lisa Kleypas,Historical Romance:Historical Romance,26 May 2015,391,AVON BOOKS,English,Again the Magic,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,May 26th 2015,391,Avon,English,1
7033,7033,183,204,The Next Always : Number 1 in series,Nora Roberts,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2012,352,Little Brown Book Group,English,The Next Always,Nora Roberts;MacLeod Andrews,Adult Fiction,November 1st 2011,352,Brilliance Audio,English,1
7249,7249,3055,207,Sylvia Day Crossfire Series 4-Volume Boxed Set : Bared to You/Reflected in You/Entwined with You/Captivated by You,Sylvia Day,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jan 2015,None,Berkley Books,English,Reflected in You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 23rd 2012,338,Berkley,English,0
7269,7269,282,208,In Bed With A Highlander,Maya Banks,Contemporary Fiction:Erotic Fiction:Historical Romance:Historical Romance:Historical Fiction,13 Sep 2011,368,Random House USA Inc,English,In Bed with a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 30th 2011,351,Ballantine Books,English,1
7270,7270,313,208,Seduction of a Highland Lass,Maya Banks,Contemporary Fiction:Erotic Fiction:Historical Romance:Historical Romance:Historical Fiction,05 Mar 2015,352,Random House USA Inc,English,In Bed with a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 30th 2011,351,Ballantine Books,English,0
7271,7271,314,208,Never Love A Highlander,Maya Banks,Historical Romance:Historical Romance,01 Nov 2011,327,Random House USA Inc,English,In Bed with a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 30th 2011,351,Ballantine Books,English,0
7347,7347,3069,210,Hearts in Darkness,Laura Kaye,Adult & Contemporary Romance:Adult & Contemporary Romance,31 May 2014,103,Laura Kaye,English,Hearts in Darkness,Laura Kaye;Güneş Demirel,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;Novella,April 21st 2011,112,The Wild Rose Press,,1
7416,7416,1201,215,The Dark Highlander,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books,01 Oct 2002,1,Bantam Doubleday Dell Publishing Group Inc,English,Kiss of the Highlander,Karen Marie Moning,Romance;Science Fiction;Time Travel;Romance;Paranormal Romance;Romance;Historical Romance;Fantasy;Paranormal;Fantasy;Historical,September 4th 2001,396,Dell,English,0
7452,7452,1330,216,Honor's Splendour,Julie Garwood,Contemporary Fiction:Science Fiction:Science Fiction:Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Jun 1996,384,SIMON & SCHUSTER,English,Honor's Splendour,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Medieval;Historical;Historical Fiction,April 30th 1991,374,Pocket Books,English,1
7628,7628,358,219,The Duke and I,Julia Quinn,Historical Romance:Historical Romance,08 Jul 2011,371,HarperCollins Publishers Inc,English,The Duke and I,Julia Quinn,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency,June 27th 2006,384,Avon,English,1
7696,7696,2614,220,Rock Chick,Kristen Ashley,Contemporary Fiction:Adventure Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Apr 2014,390,Kristen Ashley,English,Rock Chick Reckoning,Kristen Ashley,Romance;Contemporary;Romance;Contemporary Romance,November 13th 2011,484,,,0
7771,7771,2546,222,Carolina Moon,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Oct 2003,470,Penguin Putnam Inc,English,Carolina Moon,Nora Roberts,Romance;Romance;Romantic Suspense;Mystery;Fiction;Romance;Contemporary Romance;Contemporary,April 2001,470,Penguin Putnam Berkley,English,1
7919,7919,1338,223,Dark Predator,Christine Feehan,Fantasy:Fantasy Books:Romance:Romance Books,25 Sep 2012,442,Penguin Putnam Inc,English,Dark Prince,Christine Feehan,Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Paranormal;Vampires;Fantasy,April 5th 2005,447,Leisure Books,English,0
7939,7939,2008,223,Taken by the Prince,Christina Dodd,Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,04 May 2011,390,Penguin Putnam Inc,English,Dark Prince,Christine Feehan,Romance;Paranormal Romance;Romance;Fantasy;Paranormal;Paranormal;Vampires;Fantasy,April 5th 2005,447,Leisure Books,English,0
8281,8281,252,234,A Bed of Roses,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance,29 Apr 2010,368,Little Brown Book Group,English,Bed of Roses,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,October 27th 2009,335,Berkley,English,1
8355,8355,1266,234,Bed of Roses,Nora Roberts,Romance:Romance Books,29 May 2012,352,Jove Books,English,Bed of Roses,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,October 27th 2009,335,Berkley,English,1
8490,8490,1745,237,Prince of Dreams,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,17 Aug 2011,404,HarperCollins Publishers Inc,English,Dreaming of You,Lisa Kleypas,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical;Historical Fiction,June 30th 2015,373,Avon,English,0
8863,8863,400,248,Highlander Most Wanted,Maya Banks,Erotic Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Jun 2013,352,Random House USA Inc,English,Seduction of a Highland Lass,Maya Banks,Romance;Historical Romance;Romance;Historical,September 27th 2011,323,Ballantine Books,English,0
8962,8962,613,250,Kiss of Snow,Nalini Singh,Contemporary Fiction:Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Nov 2011,448,Penguin Putnam Inc,English,Kiss of Snow,Nalini Singh,Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters;Science Fiction,May 31st 2011,432,Gollancz,English,1
9021,9021,55,254,The Lucky One,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Mar 2012,400,Little Brown & Company,English,The Lucky One,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult,August 11th 2009,326,Grand Central Publishing,English,1
9387,9387,1246,263,Carnal Innocence : A Novel,Nora Roberts,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Jan 1992,499,Bantam Doubleday Dell Publishing Group Inc,English,Carnal Innocence,Nora Roberts,Romance;Contemporary Romance;Mystery;Contemporary;Suspense;Fiction,December 1st 1991,512,Bantam,English,1
9582,9582,450,270,Suddenly You,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,11 Jul 2011,384,HarperCollins Publishers Inc,English,Suddenly You,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,November 28th 2006,384,Avon,English,1
