id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
13,Gone with the Wind,Margaret Mitchell,Classics;Historical;Historical Fiction;Fiction;Romance;Historical;Literature;War;Military History;Civil War;Romance;Historical Romance;Novels,April 1st 1999,1037,Grand Central Publishing,English
14,Slammed,Colleen Hoover,Young Adult;Romance;Contemporary Romance;Romance;Fiction;Womens Fiction;Chick Lit,January 5th 2012,317,Colleen Hoover,
15,The Time Traveler's Wife,Audrey Niffenegger,Fiction;Romance;Fantasy;Science Fiction;Time Travel;Science Fiction,September 23rd 2013,500,Zola Books,
16,Anna and the French Kiss,Stephanie Perkins,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,December 2nd 2010,372,Dutton Juvenile,English
17,Vampire Academy,Richelle Mead,Young Adult;Fantasy;Fantasy;Paranormal;Romance;Paranormal;Vampires,November 2013,332,Razorbill,
18,Dark Lover,J.R. Ward,Fiction;Did Not Finish;Romance;Paranormal Romance;Adult Fiction;Romance;Erotic Romance;Action;Romance;Contemporary Romance;Romance;Fantasy Romance;Audiobook;New Adult,September 6th 2005,393,Penguin Group (USA),English
19,Hush; Hush,Becca Fitzpatrick,Young Adult;Fantasy;Paranormal;Angels;Fantasy;Paranormal;Romance,October 13th 2009,391,Simon & Schuster BFYR,English
20,A Walk to Remember,Nicholas Sparks,Adult;Romance;Drama;Adult Fiction;Love,September 1st 2004,240,Grand Central Publishing,English
21,Wuthering Heights,Emily Brontë;Richard J. Dunn,Classics;Fiction;Romance;Literature;Gothic;Historical;Historical Fiction;Literature;19th Century;Classics;Classic Literature;Novels;Historical,,464,Norton,English
22,The Host,Stephenie Meyer,Science Fiction;Fiction;Science Fiction;Dystopia;Young Adult;Fantasy;Paranormal;Science Fiction;Aliens,May 6th 2008,620,Little; Brown and Company,English
23,Divergent,Veronica Roth,Young Adult;Science Fiction;Dystopia;Fiction;Fantasy;Science Fiction,February 28th 2012,487,Katherine Tegen Books,English
24,City of Bones,Cassandra Clare,Young Adult;Fantasy;Paranormal;Romance;Fantasy;Urban Fantasy;Fantasy;Fiction;Paranormal;Vampires;Fantasy;Supernatural;Paranormal;Angels;Fantasy;Magic,March 27th 2007,485,Margaret K. McElderry Books,English
25,Love Unscripted,Tina Reber,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Did Not Finish;Adult,March 6th 2010,668,CreateSpace Independent Publishing Platform,English
26,Persuasion,Jane Austen;James Kinsley;Deidre Shauna Lynch,Classics;Fiction;Romance;Historical;Historical Fiction;Literature,March 18th 2004,249,Oxford University Press,English
27,The Fault in Our Stars,John Green,Young Adult;Fiction;Romance;Contemporary,January 10th 2012,313,Dutton Books,English
28,Obsidian,Jennifer L. Armentrout,Young Adult;Fantasy;Paranormal;Romance;Fantasy;Science Fiction;Aliens;Science Fiction;Romance;Paranormal Romance,May 8th 2012,335,Entangled Teen,English
29,Sense and Sensibility,Jane Austen;Tony Tanner;Ros Ballaster,Classics;Fiction;Romance,April 29th 2003,409,Penguin Books,English
30,Shiver,Maggie Stiefvater,Young Adult;Romance;Fiction;Fantasy;Supernatural;Fantasy;Urban Fantasy;Fantasy;Young Adult;Teen;Did Not Finish,August 1st 2009,390,Scholastic Press,English
31,On the Island,Tracey Garvis-Graves,Romance;Romance;Contemporary Romance;Womens Fiction;Chick Lit;New Adult;Adult;Contemporary,August 16th 2012,346,Penguin,English
32,Hopeless,Colleen Hoover,Romance;New Adult;Young Adult;Contemporary,December 19th 2012,410,,English
33,Memoirs of a Geisha,Arthur Golden,Fiction;Historical;Historical Fiction;Romance;Historical;Cultural;Japan;Classics,November 15th 2005,434,Random House Large Print Publishing,English
34,On Dublin Street,Samantha Young,New Adult;Contemporary;Romance;Contemporary Romance;Romance;Adult;Adult Fiction;Erotica,August 31st 2012,372,,
35,Halfway to the Grave,Jeaniene Frost,Fantasy;Paranormal;Romance;Paranormal;Vampires;Adult;Fantasy;Fantasy;Urban Fantasy,October 30th 2007,358,Avon,English
36,The Truth About Forever,Sarah Dessen,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,May 11th 2004,374,Penguin Group Inc.,English
37,Reason to Breathe,Rebecca Donovan,Romance;Young Adult;Contemporary;New Adult;Sociology;Abuse,May 10th 2011,377,,
38,The Bronze Horseman,Paullina Simons,Romance;Historical;Romance;Historical Romance;Fiction,April 2001,637,HarperCollins,English
39,Water for Elephants,Sara Gruen,Fiction;Historical;Historical Fiction;Romance;Book Club,May 1st 2007,335,Algonquin Books,English
40,Flat-Out Love,Jessica Park,Romance;Young Adult;New Adult;Contemporary;Womens Fiction;Chick Lit,April 11th 2011,389,Amazon Digital Services,
41,Kiss an Angel,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Humor;Funny;Adult,February 1st 1996,384,Avon,English
42,Leaving Paradise,Simone Elkeles,Young Adult;Contemporary;Romance;Realistic Fiction,April 8th 2007,303,Flux,English
43,Matched,Ally Condie,Young Adult;Science Fiction;Dystopia;Romance,November 30th 2010,369,Dutton Books for Young Readers,English
44,The Vincent Boys,Abbi Glines,Romance;Young Adult;New Adult;Contemporary,October 12th 2011,260,,
45,It Had to Be You,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,March 5th 2002,376,Avon,English
46,Clockwork Angel,Cassandra Clare,Fantasy;Young Adult;Fantasy;Paranormal;Science Fiction;Steampunk;Romance,August 31st 2010,481,Simon & Schuster; Margaret K. McElderry,English
47,Emma,Jane Austen;Fiona Stafford,Fiction;Classics;Historical;Historical Fiction;Literature;Historical,May 6th 2003,474,Penguin Books,English
48,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,Young Adult;Contemporary;Romance;Fiction;Womens Fiction;Chick Lit,September 7th 2010,280,Little Brown/Poppy,English
49,Significance,Shelly Crane,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,June 2011,387,Kiss Me Publications,English
50,The Edge of Never,J.A. Redmerski,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Young Adult,November 15th 2012,426,Createspace,English
51,A Kingdom of Dreams,Judith McNaught,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval;Adult,July 1st 2003,438,Pocket Books,English
52,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English
53,Along for the Ride,Sarah Dessen,Young Adult;Romance;Contemporary,June 16th 2009,383,Viking Books for Young Readers,English
54,The Summer I Turned Pretty,Jenny Han,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction;Fiction;Young Adult;Teen;Young Adult;Young Adult Contemporary;Young Adult;Young Adult Romance;Young Adult;Coming Of Age,May 5th 2009,276,Simon  Schuster Books for Young Readers,English
55,Just the Sexiest Man Alive,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,October 1st 2008,296,Berkley Sensation,English
56,This Lullaby,Sarah Dessen,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit,March 8th 2004,345,Speak,English
57,Breathe,Abbi Glines,Romance;Young Adult;New Adult;Contemporary,May 16th 2011,164,Wild Child Publishing,
58,Mystery Man,Kristen Ashley,Romance;Contemporary;Romance;Contemporary Romance;Adult,July 11th 2011,406,,
59,Romeo and Juliet,William Shakespeare;Barbara A. Mowat;Paul Werstine,Classics;Plays;Fiction;Romance;Academic;School;Drama;Academic;Read For School;Literature;Young Adult;High School;Poetry,January 1st 2004,283,Washington Square Press,English
60,The Bride,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Medieval,May 21st 2002,352,Atria Books,English
61,Going Too Far,Jennifer Echols,Young Adult;Romance;Contemporary;New Adult;Womens Fiction;Chick Lit,March 17th 2009,245,Pocket Books/MTV Books,English
62,Shatter Me,Tahereh Mafi,Young Adult;Science Fiction;Dystopia;Romance;Fantasy,November 15th 2011,338,Harper,English
63,Catching Jordan,Miranda Kenneally,Young Adult;Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Young Adult;High School,December 1st 2011,288,Sourcebooks Fire,English
64,The Gamble,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary,April 18th 2011,629,Amazon Digital Services; Inc.,
65,Forbidden,Tabitha Suzuma,Romance;Contemporary;Young Adult;Realistic Fiction,May 27th 2010,418,Definitions,English
66,Naked in Death,J.D. Robb,Mystery;Romance;Mystery;Crime;Romance;Romantic Suspense;Fiction,July 1st 1995,306,Berkley Publishing Group,English
67,Can You Keep a Secret?,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Humor,December 27th 2005,374,Dell Publishing Company,English
68,The Sweet Gum Tree,Katherine Allred,Romance;Contemporary;Romance;Contemporary Romance;New Adult;Womens Fiction;Chick Lit,November 1st 2005,314,Ellora's Cave,English
69,Existence,Abbi Glines,Fantasy;Paranormal;Young Adult;Romance;Fantasy;Romance;Paranormal Romance,December 13th 2011,161,WIld Child Publishing,
70,Sugar Daddy,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 6th 2007,371,St. Martin's Press,English
71,Bet Me,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Contemporary;Fiction;Humor;Humor;Funny,August 31st 2004,391,St. Martin's Paperbacks,English
72,Forget You,Jennifer Echols,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction,July 20th 2010,292,MTV Books,English
73,Forever Mine,Elizabeth Reyes,Romance;Young Adult;Contemporary;Romance;Contemporary Romance,September 6th 2010,334,,
74,Playing for Keeps,R.L. Mathewson,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Adult,April 29th 2011,220,Rerum Publishing House,English
75,Fallen Too Far,Abbi Glines,Romance;Contemporary;Romance;Contemporary Romance;Young Adult,December 14th 2012,300,Abbi Glines,
76,Wallbanger,Alice Clayton,Contemporary;Romance;Contemporary Romance;Humor;Funny;New Adult;Womens Fiction;Chick Lit;Adult;Humor,November 27th 2012,384,Omnific Publishing,English
77,The Perfect Play,Jaci Burton,Romance;Sports and Games;Sports;Romance;Contemporary Romance;Contemporary;Contemporary Romance;Sports Romance;Adult Fiction;Erotica,February 1st 2011,324,Penguin Berkley Heat,English
78,Call Me Irresistible,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,January 18th 2011,385,William Morrow,English
79,Practice Makes Perfect,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult;Humor;Funny,March 3rd 2009,291,Berkley Sensation,English
80,The Sky Is Everywhere,Jandy Nelson,Young Adult;Contemporary;Romance;Fiction,March 9th 2010,288,Dial Books,English
81,Rock Chick,Kristen Ashley,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny,December 1st 2008,412,Youwriteon,English
82,Wait for You,J. Lynn;Jennifer L. Armentrout,New Adult;Romance;Contemporary;Academic;College;Romance;Contemporary Romance;Young Adult,February 26th 2013,332,J. Lynn,
83,The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,Romance;Young Adult;Contemporary;New Adult;Sociology;Abuse;Young Adult;High School,April 30th 2012,242,Createspace,English
84,That Boy,Jillian Dodd,Romance;Young Adult;Contemporary;New Adult,,287,bandit publishing,English
85,Heart on a Chain,Cindy C. Bennett,Young Adult;Romance;Sociology;Abuse;Contemporary;Young Adult;High School,January 15th 2011,322,,
86,Fallen,Lauren Kate,,December 8th 2009,452,Delacorte Press,English
87,Lock and Key,Sarah Dessen,Young Adult;Romance;Contemporary;Fiction,April 22nd 2008,432,Viking's Children's Books,English
88,Lover Eternal,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance;Fantasy,March 7th 2006,441,Signet,English
89,Hex Hall,Rachel Hawkins,Young Adult;Fantasy;Fantasy;Paranormal;Fantasy;Magic;Paranormal;Vampires,March 2nd 2010,323,Hyperion Book CH,English
90,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
91,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English
92,Natural Born Charmer,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,February 6th 2007,400,William Morrow,English
93,Delirium,Lauren Oliver,Young Adult;Science Fiction;Dystopia;Romance,February 7th 2012,441,HarperCollins,English
94,Cross My Heart,Katie Klein,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;New Adult,March 15th 2011,225,,
95,Pushing the Limits,Katie McGarry,Young Adult;Romance;Contemporary;New Adult,July 31st 2012,392,Harlequin Teen,English
96,Trust in Advertising,Victoria Michaels,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,July 27th 2010,452,Omnific Publishing,
97,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English
98,Ain't She Sweet,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction;Humor;Humor;Funny;Adult;Audiobook;American;Southern,,464,Piatkus,English
99,Slave to Sensation,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,September 5th 2006,334,Berkley Sensation,
100,This Heart of Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 5th 2002,432,Avon,
101,Backstage Pass,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult;Romance;Erotic Romance,October 1st 2010,344,Sourcebooks Casablanca,English
102,Devil in Winter,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,February 28th 2006,368,Avon,English
103,Taking Shots,Toni Aleo,Romance;Sports and Games;Sports;Contemporary Romance;Sports Romance;Romance;Contemporary Romance;Contemporary;Sports;Hockey,October 5th 2011,478,,
104,Pleasure Unbound,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy;Fantasy;Urban Fantasy;Paranormal;Vampires,July 1st 2008,389,Forever,English
105,Me Before You,Jojo Moyes,Romance;Fiction;Audiobook,December 31st 2012,369,Pamela Dorman Books/Viking,English
106,Mr. Perfect,Linda Howard,Romance;Romance;Romantic Suspense;Suspense;Contemporary;Romance;Contemporary Romance;Mystery,July 1st 2003,405,Pocket Books,English
107,The Thorn Birds,Colleen McCullough,Fiction;Historical;Historical Fiction;Romance;Historical Romance;Romance;Classics;Adult,June 1978,692,Avon Books,English
108,North and South,Elizabeth Gaskell;Alan Shelston,Romance;Historical;Historical Fiction;Classics;Literature;19th Century;Historical,January 13th 1994,521,Penguin Books,English
109,Match Me If You Can,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,August 2006,388,AVON Books,English
110,A Knight in Shining Armor,Jude Deveraux,Romance;Science Fiction;Time Travel;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,December 1st 2002,464,Pocket Books,English
111,Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English
112,Unleashed,Cherrie Lynn,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,February 1st 2010,218,Samhain Publishing,
113,Lover Unbound,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Romance;Fantasy;Urban Fantasy,October 1st 2007,502,Signet,English
114,Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 1st 1997,374,Avon Books,English
115,The Coincidence of Callie & Kayden,Jessica Sorensen,New Adult;Romance;Contemporary;Young Adult;Sociology;Abuse,December 13th 2012,283,,
116,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,
117,Vision in White,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 28th 2009,325,Berkley Books,English
118,Firelight,Sophie Jordan,Fantasy;Young Adult;Fantasy;Dragons;Romance;Fantasy;Paranormal,September 7th 2010,323,HarperTeen,English
119,Goddess of Light,P.C. Cast,Romance;Paranormal Romance;Fantasy;Mythology;Fantasy;Paranormal;Fantasy;Romance,April 5th 2005,355,Berkley,English
120,The Outsiders,S.E. Hinton,Classics;Young Adult;Fiction,September 1st 1988,192,Puffin Books,;
121,The Mighty Storm,Samantha Towle,Romance;Contemporary;Adult;Adult Fiction;Erotica;Did Not Finish,August 24th 2012,442,,
122,Rules of Protection,Alison Bliss,Romance;Humor;Funny;Romance;Contemporary Romance;Did Not Finish;Contemporary;Suspense,August 26th 2014,392,Entangled: Select,
123,Honey Moon,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,June 1st 1993,448,Pocket Books,English
124,All The Wrong Reasons,J.L. Paul,Romance;New Adult;Young Adult;Contemporary;Academic;College;Romance;Contemporary Romance,February 24th 2011,239,Amazon Digital Services,
125,Flowers from the Storm,Laura Kinsale,Romance;Historical Romance;Romance;Historical;Historical Fiction;Historical,May 27th 2003,533,Avon,English
126,Bloodlines,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal,August 23rd 2011,421,Penguin Group,English
127,Archer's Voice,Mia Sheridan,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult,November 1st 2016,345,Forever,English
128,The Marriage Bargain,Jennifer Probst,Romance;Romance;Contemporary Romance;Contemporary;Adult;Womens Fiction;Chick Lit;Adult Fiction;Erotica;New Adult;Fiction;Humor;Funny;Love,February 14th 2012,160,Entangled Publishing (Indulgence),English
129,Extreme Exposure,Pamela Clare,Romance;Romantic Suspense;Romance;Romance;Contemporary Romance;Suspense;Contemporary,August 2nd 2005,335,Berkley,English
130,Something Wonderful,Judith McNaught,Romance;Historical Romance;Historical;Romance;Historical;Regency;Historical;Historical Fiction;Fiction,January 1st 1991,418,Pocket Books,English
131,A Discovery of Witches,Deborah Harkness,Fantasy;Fiction;Fantasy;Paranormal;Romance;Paranormal;Vampires;Paranormal;Witches,February 2011,579,Viking Penguin,English
132,Lover Mine,J.R. Ward,Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,April 27th 2010,528,NAL,English
133,Captive in the Dark,C.J. Roberts,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Adult;Contemporary;Sociology;Abuse;New Adult;Romance;Contemporary Romance;Romance;Erotic Romance,July 20th 2011,276,CJ Roberts,
134,The Secret,Julie Garwood,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction;Historical;Medieval,May 1st 1992,379,Pocket Books,English
135,Jewels of the Sun,Nora Roberts,Romance;Romance;Contemporary Romance;Fiction;Fantasy;Contemporary,November 1st 1999,347,Jove,English
136,Redeeming Love,Francine Rivers,Religion;Novels;Christian,May 9th 2005,464,Multnomah,English
137,Secrets of a Summer Night,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,November 28th 2006,384,Avon,English
138,Perfect You,Elizabeth Scott,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Realistic Fiction,March 25th 2008,282,Simon Pulse,English
139,Perfect,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,December 1st 2002,704,Pocket Books,English
140,Shadow Kiss,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,January 2nd 2008,443,Razorbill,English
141,Smooth Talking Stranger,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 31st 2009,340,St. Martin's Press,English
142,Some Girls Bite,Chloe Neill,Fantasy;Urban Fantasy;Paranormal;Vampires;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance,April 7th 2009,341,Berkley Books,English
143,Blue-Eyed Devil,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 25th 2008,336,St. Martin's Press,
144,Frostbite,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,April 10th 2008,327,Razorbill,English
145,Lord of Scoundrels,Loretta Chase,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Fiction,January 1995,375,Avon Books,English
146,Virgin River,Robyn Carr,Romance;Romance;Contemporary Romance;Contemporary;Fiction,April 1st 2007,386,Mira Books,English
147,Rebecca,Daphne du Maurier,Classics;Fiction;Mystery;Romance;Gothic;Historical;Historical Fiction,December 17th 2013,449,Little; Brown and Company,English
148,Darkfever,Karen Marie Moning,Fantasy;Fantasy;Urban Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae;Adult;Fiction,October 31st 2006,309,Delacorte Press,English
149,City of Fallen Angels,Cassandra Clare,Fantasy;Young Adult;Fantasy;Paranormal;Romance,April 5th 2011,424,Simon & Schuster Children's; Margaret K. McElderry Books,English
150,Mackenzie's Mountain,Linda Howard,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Westerns;Suspense,March 1st 2000,256,Mira Books,English
151,Clockwork Prince,Cassandra Clare,Fantasy;Young Adult;Romance;Fantasy;Paranormal;Science Fiction;Steampunk,December 6th 2011,502,Simon & Schuster; Margaret K. McElderry,English
152,Heaven; Texas,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,April 1st 1995,384,Avon,English
153,Romancing Mister Bridgerton,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 2nd 2002,370,Avon,English
154,Seduce Me at Sunrise,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 30th 2008,360,St. Martin's Paperbacks,English
155,Taking Chances,Molly McAdams,Romance;New Adult;Contemporary;Young Adult;Academic;College,October 16th 2012,432,William Morrow Paperbacks,
156,I've Got Your Number,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Contemporary Romance;Humor;Funny;Romance;Audiobook;Adult Fiction;Contemporary;Humor;Humor;Comedy;Fiction,February 14th 2012,433,The Dial Press,English
157,One Day,David Nicholls,Fiction;Romance;Contemporary;Womens Fiction;Chick Lit,June 11th 2009,435,Hodder & Stoughton,English
158,Montana Sky,Nora Roberts,Romance;Romance;Contemporary Romance;Fiction;Contemporary;Mystery;Romance;Romantic Suspense,June 27th 2006,448,Berkley,English
159,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult;Romance;Historical;Literature;Childrens;Classics;Classic Literature;Literature;19th Century,April 6th 2004,449,Signet Classics,English
160,Dance Upon the Air,Nora Roberts,Romance;Fantasy;Paranormal;Fantasy;Fiction;Romance;Contemporary Romance;Romance;Paranormal Romance,August 2nd 2001,400,Piatkus,English
161,Tangled,Emma Chase,Romance;Contemporary;Romance;Contemporary Romance;New Adult;Humor;Funny;Adult,August 2nd 2013,254,Gallery Books,
162,The Wolf and the Dove,Kathleen E. Woodiwiss,Romance;Romance;Historical Romance;Historical;Historical;Medieval;Historical;Historical Fiction,August 28th 2007,512,Avon,English
163,P.S. I Love You,Cecelia Ahern,Romance;Womens Fiction;Chick Lit;Fiction;Contemporary,January 5th 2005,470,Hachette Books,English
164,The Secret of Ella and Micha,Jessica Sorensen,New Adult;Contemporary;Young Adult;Romance;Contemporary Romance;Academic;College,October 4th 2012,313,,English
165,Almost Heaven,Judith McNaught,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,January 1st 1999,544,Pocket Books,English
166,Ugly Love,Colleen Hoover,Romance;Contemporary Romance;Fiction,August 5th 2014,337,Atria Books,
167,Ransom,Julie Garwood,Romance;Historical Romance;Romance;Historical;Historical;Medieval;Historical;Historical Fiction;Fiction;Cultural;Scotland;Adult;Historical Romance;Medieval Romance;Humor;Funny,December 27th 2002,546,Pocket Books,English
168,Prince of Wolves,Quinn Loftis,Fantasy;Paranormal;Young Adult;Shapeshifters;Werewolves;Fantasy;Romance,June 29th 2011,230,,
169,The Selection,Kiera Cass,Young Adult;Romance;Science Fiction;Dystopia;Fantasy,April 24th 2012,336,HarperTeen,English
170,Morning Glory,LaVyrle Spencer,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction;Westerns,,480,Grafton / HarperCollins,English
