,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language
687,687,727,18,Lover at Last,J R Ward,Romance:Romance Books,01 Oct 2013,620,Berkley Books,English,Dark Lover,J.R. Ward,Fiction;Did Not Finish;Romance;Paranormal Romance;Adult Fiction;Romance;Erotic Romance;Action;Romance;Contemporary Romance;Romance;Fantasy Romance;Audiobook;New Adult,September 6th 2005,393,Penguin Group (USA),English
712,712,3661,18,Amante Al Fin #11 / Lover at Last #11 : La Hermandad de la Daga Negra,JR Ward,Horror:Horror:Erotic Fiction:Romance:Romance Books,26 Jan 2016,710,DEBOLSILLO,Spanish,Dark Lover,J.R. Ward,Fiction;Did Not Finish;Romance;Paranormal Romance;Adult Fiction;Romance;Erotic Romance;Action;Romance;Contemporary Romance;Romance;Fantasy Romance;Audiobook;New Adult,September 6th 2005,393,Penguin Group (USA),English
728,728,62,20,A Walk to Remember,Nicholas Sparks,Contemporary Fiction:Romance:Romance Books,01 Sep 2000,240,Warner Books (NY),English,A Walk to Remember,Nicholas Sparks,Adult;Romance;Drama;Adult Fiction;Love,September 1st 2004,240,Grand Central Publishing,English
1052,1052,101,29,Sense and Sensibility (Vintage Classics Austen Series),Jane Austen:Francesca Segal,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books,01 Nov 2014,464,Vintage Publishing,English,Sense and Sensibility,Jane Austen;Tony Tanner;Ros Ballaster,Classics;Fiction;Romance,April 29th 2003,409,Penguin Books,English
1057,1057,368,29,Sense and Sensibility and Sea Monsters,Jane Austen:Ben H. Winters,Contemporary Fiction:Horror:Horror:Historical Romance:Historical Romance:Parodies & Spoofs,01 Oct 2009,344,Quirk Books,English,Sense and Sensibility,Jane Austen;Tony Tanner;Ros Ballaster,Classics;Fiction;Romance,April 29th 2003,409,Penguin Books,English
1072,1072,2301,29,Sense and Sensibility,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,09 Nov 2012,295,Advantage Publishers Group,English,Sense and Sensibility,Jane Austen;Tony Tanner;Ros Ballaster,Classics;Fiction;Romance,April 29th 2003,409,Penguin Books,English
1092,1092,121,32,Hopeless,Colleen Hoover,Fiction Books:Thriller Books:Thrillers:Romance:Romance Books:Thriller Books for Children:Romance Books for Teenagers,07 May 2013,384,Atria Books,English,Hopeless,Colleen Hoover,Romance;New Adult;Young Adult;Contemporary,December 19th 2012,410,,English
1117,1117,698,34,On Dublin Street,Samantha Young,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jun 2013,416,Penguin Books Ltd,English,On Dublin Street,Samantha Young,New Adult;Contemporary;Romance;Contemporary Romance;Romance;Adult;Adult Fiction;Erotica,August 31st 2012,372,,
1121,1121,2641,34,On Dublin Street,Samantha Young,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 May 2015,355,Berkley Books,English,On Dublin Street,Samantha Young,New Adult;Contemporary;Romance;Contemporary Romance;Romance;Adult;Adult Fiction;Erotica,August 31st 2012,372,,
1487,1487,2197,47,Emma,Jane Austen,Contemporary Fiction:Classic Books & Novels:Romance:Romance Books:Historical Romance:Historical Romance,31 Oct 2013,344,Advantage Publishers Group,English,Emma,Jane Austen;Fiona Stafford,Fiction;Classics;Historical;Historical Fiction;Literature;Historical,May 6th 2003,474,Penguin Books,English
1598,1598,1796,52,Much Ado about You,Eloisa James,Historical Romance:Historical Romance,29 Aug 2011,391,HarperCollins Publishers Inc,English,Something About You,Julie James,Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense;Womens Fiction;Chick Lit;Adult,March 2nd 2010,307,Berkley Sensation,English
2571,2571,66,80,The Sky Is Everywhere,Jandy Nelson,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Children's Fiction:Children's General Story Books:Family,05 Feb 2015,320,Walker Books Ltd,English,The Sky Is Everywhere,Jandy Nelson,Young Adult;Contemporary;Romance;Fiction,March 9th 2010,288,Dial Books,English
2746,2746,118,88,Lover Reborn,J R Ward,Horror:Horror:Romance:Romance Books,02 Oct 2012,627,Penguin Putnam Inc,English,Lover Eternal,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance;Fantasy,March 7th 2006,441,Signet,English
2749,2749,139,88,Lover Eternal,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English,Lover Eternal,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance;Fantasy,March 7th 2006,441,Signet,English
2861,2861,607,90,Bridget Jones: The Edge of Reason,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,06 Nov 2014,432,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2863,2863,713,90,Bridget Jones's Baby : The Diaries,Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Funny Books & Stories,09 Nov 2016,240,Random House Children's Publishers UK,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2864,2864,1234,90,Bridget Jones's Diary (Film Tie-in),Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sci Fi Books for Kids,23 Mar 2001,320,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English
2884,2884,164,91,The Darkest Seduction,Gena Showalter,Fantasy:Fantasy Books:Romance:Romance Books,21 Feb 2012,384,Harlequin (UK),English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English
2887,2887,590,91,The Darkest Touch : A Spellbinding Paranormal Romance Novel,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Mar 2015,496,Harlequin Books,English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English
2888,2888,603,91,The Darkest Whisper,Gena Showalter,Fantasy:Fantasy Books:Adult & Contemporary Romance:Adult & Contemporary Romance,29 Aug 2009,416,HarperCollins Publishers,English,The Darkest Night,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Demons,May 3rd 2008,379,Harlequin,English
2916,2916,2480,92,Natural Born Charmer,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2009,394,HarperCollins Publishers Inc,English,Natural Born Charmer,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,February 6th 2007,400,William Morrow,English
3082,3082,1689,97,The Wicked Deeds of Daniel MacKenzie,Jennifer Ashley,Historical Romance:Historical Romance,01 Oct 2013,371,Berkley Books,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English
3248,3248,1286,99,Slave to Sensation,Nalini Singh,Adventure Books:Fantasy:Fantasy Books:Romance:Romance Books,27 Jul 2009,345,Penguin Putnam Inc,English,Slave to Sensation,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,September 5th 2006,334,Berkley Sensation,
3371,3371,253,102,Devil in Spring,Lisa Kleypas,Historical Romance:Historical Romance,21 Feb 2017,384,AVON BOOKS,English,Devil in Winter,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,February 28th 2006,368,Avon,English
3444,3444,2525,105,Me Before You : A Novel,Jojo Moyes,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,31 Dec 2012,369,Pamela Dorman Books,English,Me Before You,Jojo Moyes,Romance;Fiction;Audiobook,December 31st 2012,369,Pamela Dorman Books/Viking,English
3499,3499,2187,108,North and South,Elizabeth Gaskell:Alan Shelston,Literary Studies: General:Literary Studies: C 1800 To C 1900:Literary Studies: Fiction Novelists & Prose Writers:Historical Romance:Historical Romance:Sagas:Historical Fiction,30 Nov 2004,608,WW Norton & Co,English,North and South,Elizabeth Gaskell;Alan Shelston,Romance;Historical;Historical Fiction;Classics;Literature;19th Century;Historical,January 13th 1994,521,Penguin Books,English
3686,3686,366,111,Paradise,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Oct 2006,709,Simon & Schuster Ltd,English,Paradise,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,July 1st 2003,709,Pocket Books,English
3792,3792,2445,114,Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Sports and Games;Sports;Womens Fiction;Chick Lit;Contemporary Romance;Sports Romance,February 1st 1997,374,Avon Books,English
3889,3889,1679,116,The Hamilton Affair : The Epic Love Story of Alexander Hamilton and Eliza Schuyler,Elizabeth Cobbs,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,19 Oct 2017,416,Hodder & Stoughton General Division,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,
3931,3931,2149,116,And the Miss Ran Away With the Rake : Rhymes With Love,Elizabeth Boyle,Romance:Romance Books:Historical Romance:Historical Romance,26 Mar 2013,384,HarperCollins Publishers Inc,English,Kissed by an Angel/The Power of Love/Soulmates,Elizabeth Chandler,Young Adult;Romance;Paranormal;Angels;Fantasy;Paranormal;Fantasy,December 16th 2008,704,Simon Pulse,
3992,3992,690,117,Vision in White,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 May 2012,319,Penguin Putnam Inc,English,Vision in White,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,April 28th 2009,325,Berkley Books,English
4138,4138,3798,122,Caught Looking : Erotic Tales of Voyeurs and Exhibitionists,Alison Tyler,Erotic Fiction,01 Nov 2006,192,Cleis Press,English,Rules of Protection,Alison Bliss,Romance;Humor;Funny;Romance;Contemporary Romance;Did Not Finish;Contemporary;Suspense,August 26th 2014,392,Entangled: Select,
4323,4323,2672,129,Extreme Exposure,Pamela Clare,Political & Legal:Political & Legal:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Aug 2005,342,Penguin Putnam Inc,English,Extreme Exposure,Pamela Clare,Romance;Romantic Suspense;Romance;Romance;Contemporary Romance;Suspense;Contemporary,August 2nd 2005,335,Berkley,English
4332,4332,362,130,Something Wonderful,Judith McNaught,Romance:Romance Books:Historical Romance:Historical Romance,01 Jan 2001,418,SIMON & SCHUSTER,English,Something Wonderful,Judith McNaught,Romance;Historical Romance;Historical;Romance;Historical;Regency;Historical;Historical Fiction;Fiction,January 1st 1991,418,Pocket Books,English
4348,4348,92,132,Lover Mine : A Novel of the Black Dagger Brotherhood,J R Ward,Romance:Romance Books,25 Jul 2011,633,Penguin Putnam Inc,English,Lover Mine,J.R. Ward,Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,April 27th 2010,528,NAL,English
4352,4352,139,132,Lover Eternal,J. R. Ward,Fantasy:Fantasy Books:Romance:Romance Books,25 Jul 2011,464,Penguin Putnam Inc,English,Lover Mine,J.R. Ward,Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,April 27th 2010,528,NAL,English
4364,4364,727,132,Lover at Last,J R Ward,Romance:Romance Books,01 Oct 2013,620,Berkley Books,English,Lover Mine,J.R. Ward,Romance;Paranormal Romance;Paranormal;Vampires;Romance;Fantasy,April 27th 2010,528,NAL,English
4421,4421,774,133,Captive in the Dark : The Dark Duet,Cj Roberts,Erotic Fiction,18 Jun 2013,205,Neurotica Books,English,Captive in the Dark,C.J. Roberts,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Adult;Contemporary;Sociology;Abuse;New Adult;Romance;Contemporary Romance;Romance;Erotic Romance,July 20th 2011,276,CJ Roberts,
4638,4638,2217,136,Redeeming Love,Francine Rivers,Romance:Romance Books:Historical Romance:Historical Romance:Religious & Spiritual Fiction:Christian Life & Practice,16 Oct 2007,479,Crown Publishing Group,English,Redeeming Love,Francine Rivers,Religion;Novels;Christian,May 9th 2005,464,Multnomah,English
4681,4681,2339,137,Secrets Of A Summer Night : Number 1 in series,Lisa Kleypas,Historical Romance:Historical Romance:Historical Fiction,03 Jun 2010,352,Little Brown Book Group,English,Secrets of a Summer Night,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,November 28th 2006,384,Avon,English
4789,4789,1443,139,Perfect,Judith McNaught,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Jun 2017,677,Simon & Schuster Ltd,English,Perfect,Judith McNaught,Romance;Romance;Contemporary Romance;Contemporary;Fiction;Romance;Historical Romance,December 1st 2002,704,Pocket Books,English
4831,4831,1573,141,When Strangers Marry,Lisa Kleypas,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,11 Jul 2011,390,HarperCollins Publishers Inc,English,Smooth Talking Stranger,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 31st 2009,340,St. Martin's Press,English
4832,4832,1700,141,Stranger in My Arms,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,08 Jul 2011,368,HarperCollins Publishers Inc,English,Smooth Talking Stranger,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,March 31st 2009,340,St. Martin's Press,English
4957,4957,1201,148,The Dark Highlander,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books,01 Oct 2002,1,Bantam Doubleday Dell Publishing Group Inc,English,Darkfever,Karen Marie Moning,Fantasy;Fantasy;Urban Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae;Adult;Fiction,October 31st 2006,309,Delacorte Press,English
4998,4998,1786,149,Kiss Of Pride : A Deadly Angels Book,Sandra Hill,Romance:Romance Books:Historical Romance:Historical Romance,19 May 2014,370,HarperCollins Publishers Inc,English,City of Fallen Angels,Cassandra Clare,Fantasy;Young Adult;Fantasy;Paranormal;Romance,April 5th 2011,424,Simon & Schuster Children's; Margaret K. McElderry Books,English
5178,5178,334,153,Because of Miss Bridgerton,Julia Quinn,Historical Romance:Historical Romance,07 Apr 2016,384,HarperCollins Publishers Inc,English,Romancing Mister Bridgerton,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 2nd 2002,370,Avon,English
5190,5190,522,153,The Other Miss Bridgerton,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,23 Jul 2018,384,HarperCollins Publishers Inc,English,Romancing Mister Bridgerton,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 2nd 2002,370,Avon,English
5224,5224,2061,153,Romancing Mister Bridgerton,Julia Quinn,Romance:Romance Books:Historical Romance:Historical Romance,24 Nov 2015,408,AVON BOOKS,English,Romancing Mister Bridgerton,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 2nd 2002,370,Avon,English
5248,5248,341,154,Seduce ME at Sunrise,Lisa Kleypas,Historical Romance:Historical Romance,13 Apr 2011,376,St. Martin's Press,English,Seduce Me at Sunrise,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 30th 2008,360,St. Martin's Paperbacks,English
5267,5267,1967,154,Seduce Me At Sunrise : Number 2 in series,Lisa Kleypas,Historical Romance:Historical Romance,02 Oct 2008,368,Little Brown Book Group,English,Seduce Me at Sunrise,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 30th 2008,360,St. Martin's Paperbacks,English
5295,5295,124,156,I've Got Your Number,Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Apr 2013,464,Transworld Publishers Ltd,English,I've Got Your Number,Sophie Kinsella,Womens Fiction;Chick Lit;Romance;Contemporary Romance;Humor;Funny;Romance;Audiobook;Adult Fiction;Contemporary;Humor;Humor;Comedy;Fiction,February 14th 2012,433,The Dial Press,English
5332,5332,229,157,One Day,David Nicholls,Contemporary Fiction:Romance:Romance Books,15 Jun 2010,437,Random House USA Inc,English,One Day,David Nicholls,Fiction;Romance;Contemporary;Womens Fiction;Chick Lit,June 11th 2009,435,Hodder & Stoughton,English
5343,5343,2482,157,One Day,David Nicholls,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,24 May 2011,437,Random House USA Inc,English,One Day,David Nicholls,Fiction;Romance;Contemporary;Womens Fiction;Chick Lit,June 11th 2009,435,Hodder & Stoughton,English
5659,5659,565,166,Ugly Love,Colleen Hoover,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,05 Aug 2014,352,Simon & Schuster Ltd,English,Ugly Love,Colleen Hoover,Romance;Contemporary Romance;Fiction,August 5th 2014,337,Atria Books,
5708,5708,301,171,It Happened One Autumn : The Wallflowers Book 2,Lisa Kleypas,Historical Romance:Historical Romance,26 Jan 2016,391,HarperCollins Publishers Inc,English,It Happened One Autumn,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,September 27th 2005,382,Avon,English
5780,5780,481,174,The Wedding,Julie Garwood,Historical Romance:Historical Romance,07 Apr 1997,352,SIMON & SCHUSTER,English,The Wedding,Julie Garwood,Romance;Historical Romance;Historical;Romance;Historical;Medieval;Historical;Historical Fiction,January 1st 2003,384,Pocket Books,English
5901,5901,639,179,Water Bound,Christine Feehan,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,25 Jul 2011,468,Penguin Putnam Inc,English,Like Water for Chocolate,Laura Esquivel;Thomas  Christensen;Carol Christensen,Fiction;Romance;Magical Realism;Historical;Historical Fiction;Classics;Fantasy;Food and Drink;Food,October 1st 1996,221,Random House Black Swan,English
6007,6007,2752,182,In Flight,R K Lilley,Adult & Contemporary Romance:Adult & Contemporary Romance,12 Mar 2014,302,R.K. Lilley,English,In Flight,R.K. Lilley,Romance;Erotica;Bdsm;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 20th 2012,330,R.K. Lilley,
6012,6012,2838,184,Love Unrehearsed : The Love Series Book 2,Tina Reber,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Mar 2013,448,Atria Books,English,Love Unrehearsed,Tina Reber,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Adult,September 14th 2012,448,Atria Books,
6105,6105,2071,186,The Sins of Viscount Sutherland,Samantha James,Historical Romance:Historical Romance,31 May 2011,373,HarperCollins Publishers Inc,English,The Bridges of Madison County,Robert James Waller,Fiction;Romance;Classics;Womens Fiction;Chick Lit;Contemporary,September 1st 1995,224,Grand Central Publishing,English
6139,6139,102,187,Dear John,Nicholas Sparks,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Dec 2009,335,Time Warner Trade Publishing,English,Dear John,Nicholas Sparks,Romance;Fiction;Womens Fiction;Chick Lit;Contemporary;Adult;Adult Fiction;Love;Young Adult;Drama;Romance;Contemporary Romance,October 30th 2006,276,Warner Books,English
6326,6326,1767,190,Northanger Abbey,Jane Austen,Contemporary Fiction:Classic Books & Novels:Historical Romance:Historical Romance,03 Oct 2000,192,Dover Publications Inc.,English,Northanger Abbey,Jane Austen;Alfred MacAdam,Classics;Fiction;Romance;Historical;Historical Fiction,March 3rd 2005,251,Barnes & Noble Classics,English
6416,6416,2880,192,After Julius,Elizabeth Jane Howard,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jul 2015,352,Pan MacMillan,English,After the Night,Linda Howard,Romance;Romance;Romantic Suspense;Romance;Contemporary Romance;Contemporary;Suspense;Mystery,November 1st 1997,352,Pocket Books,English
6703,6703,212,197,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Passion,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,May 21st 2010,438,Mira,English
6704,6704,590,197,The Darkest Touch : A Spellbinding Paranormal Romance Novel,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,16 Mar 2015,496,Harlequin Books,English,The Darkest Passion,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,May 21st 2010,438,Mira,English
6860,6860,183,204,The Next Always : Number 1 in series,Nora Roberts,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,03 May 2012,352,Little Brown Book Group,English,The Next Always,Nora Roberts;MacLeod Andrews,Adult Fiction,November 1st 2011,352,Brilliance Audio,English
6862,6862,221,204,The Next Always,Nora Roberts,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Nov 2011,341,Penguin Putnam Inc,English,The Next Always,Nora Roberts;MacLeod Andrews,Adult Fiction,November 1st 2011,352,Brilliance Audio,English
7058,7058,598,207,Entwined with You,Sylvia Day,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,04 Jun 2013,356,Penguin Putnam Inc,English,Reflected in You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 23rd 2012,338,Berkley,English
7096,7096,314,208,Never Love A Highlander,Maya Banks,Historical Romance:Historical Romance,01 Nov 2011,327,Random House USA Inc,English,In Bed with a Highlander,Maya Banks,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 30th 2011,351,Ballantine Books,English
7140,7140,3069,210,Hearts in Darkness,Laura Kaye,Adult & Contemporary Romance:Adult & Contemporary Romance,31 May 2014,103,Laura Kaye,English,Hearts in Darkness,Laura Kaye;Güneş Demirel,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult;Novella,April 21st 2011,112,The Wild Rose Press,
